,precision,recall,f1-score,support
C,0.6295369211514393,0.9271889400921659,0.7499068207230712,1085.0
Combo G,0.4649629018961253,0.5141294439380127,0.4883116883116883,1097.0
PF/C,0.5368217054263565,0.2841025641025641,0.3715627095908786,975.0
Pure PG,0.8,0.016597510373443983,0.032520325203252036,241.0
Scoring PG,0.4813664596273292,0.43235704323570434,0.45554739162380603,717.0
Stretch 4,0.6111111111111112,0.026004728132387706,0.049886621315192746,423.0
Wing F,0.41017488076311603,0.375,0.3917995444191344,688.0
Wing G,0.5279672578444747,0.7274436090225563,0.6118577075098814,1596.0
accuracy,0.5263852242744064,0.5263852242744064,0.5263852242744064,0.5263852242744064
macro avg,0.5577426547274941,0.4128529798621044,0.3939241010871131,6822.0
weighted avg,0.5332437465050806,0.5263852242744064,0.4856714117772318,6822.0
