year,player_key,full_name,position,hometown_city,hometown_state,committed_school,profile_url_api,profile_lookup_url,profile_lookup_status,profile_resolution_method,height,weight,actual_profile_url,source_file
2013,32239,Spencer Clayton,C,Gresham,OR,,/player/Spencer-Clayton-32239,https://247sports.com/player/spencer-clayton-32239/,500,api_profile_url,'6-10,230,,2013_missing_hw.csv
2013,16402,Desmond Ringer,PF,McDonough,GA,South Carolina,/player/Desmond-Ringer-16402,https://247sports.com/player/desmond-ringer-16402/,404,api_profile_url,'6-9,220,https://247sports.com/player/desmond-ringer-16402/high-school-27184/,2013_missing_hw.csv
2015,62227,Christian Salecich,SG,Canberra,SW,Saint Louis,/player/Christian-Salecich-62227,https://247sports.com/player/christian-salecich-62227/,404,api_profile_url,'6-4,190,,2015_missing_hw.csv
2018,46048682,Maurice Commander,PG,Chicago,IL,Chattanooga,/player/Maurice-Commander-46048682,https://247sports.com/player/maurice-commander-46048682/,404,api_profile_url,'6-0,170,https://247sports.com/player/maurice-commander-46131654/high-school-277796/,2018_missing_hw.csv
2010,10576,Cody Larson,PF,Sioux Falls,SD,Florida,/player/Cody-Larson-10576,https://247sports.com/player/cody-larson-10576/,404,api_profile_url,'6-9,225,https://247sports.com/player/cody-larson-10576/high-school-14502/,2010_missing_hw.csv
2010,26143,Jalen Courtney,PF,Jackson,MS,LSU,/player/Jalen-Courtney-26143,https://247sports.com/player/jalen-courtney-26143/,404,api_profile_url,'6-7,200,https://247sports.com/player/jalen-courtney-26143/high-school-42399/,2010_missing_hw.csv
2010,10372,Jordan Sibert,SG,Cincinnati,OH,Ohio State,/player/Jordan-Sibert-10372,https://247sports.com/player/jordan-sibert-10372/,404,api_profile_url,'6-4,180,https://247sports.com/player/jordan-sibert-10372/high-school-12875/,2010_missing_hw.csv
2010,59194,Jelan Kendrick,SF,Marietta,GA,Memphis,/player/Jelan-Kendrick-59194,https://247sports.com/player/jelan-kendrick-59194/,404,api_profile_url,'6-6,186,https://247sports.com/player/jelan-kendrick-59194/high-school-102932/,2010_missing_hw.csv
2010,7839,Daniel Bejarano,SG,Phoenix,AZ,Arizona,/player/Daniel-Bejarano-7839,https://247sports.com/player/daniel-bejarano-7839/,404,api_profile_url,'6-5,200,https://247sports.com/player/daniel-bejarano-7839/high-school-4830/,2010_missing_hw.csv
2010,59338,Jordan Bachynski,C,Bakersfield,CA,Arizona State,/player/Jordan-Bachynski-59338,https://247sports.com/player/jordan-bachynski-59338/,404,api_profile_url,'7-2,245,,2010_missing_hw.csv
2010,59306,Brian Williams,SF,Baton Rouge,LA,Oklahoma State,/player/Brian-Williams-59306,https://247sports.com/player/brian-williams-59306/,404,api_profile_url,'6-5,190,https://247sports.com/player/brian-williams-59306/high-school-103155/,2010_missing_hw.csv
2010,59243,Will Regan,PF,Buffalo,NY,Virginia,/player/Will-Regan-59243,https://247sports.com/player/will-regan-59243/,404,api_profile_url,'6-8,220,,2010_missing_hw.csv
2010,60914,David Eads,PG,Austin,TX,Dartmouth,/player/David-Eads-60914,https://247sports.com/player/david-eads-60914/,404,api_profile_url,'6-2,184,https://247sports.com/player/david-eads-60914/high-school-105888/,2010_missing_hw.csv
2010,61320,Falando Jones,SG,Moorhead,MS,Mississippi Valley State,/player/Falando-Jones-61320,https://247sports.com/player/falando-jones-61320/,404,api_profile_url,'6-4,212,,2010_missing_hw.csv
2010,15709,Kelvin Gaines,C,Jacksonville,FL,,/player/Kelvin-Gaines-15709,https://247sports.com/player/kelvin-gaines-15709/,404,api_profile_url,'6-10,225,https://247sports.com/player/kelvin-gaines-59229/high-school-103003/,2010_missing_hw.csv
2011,10291,Greg Whittington,PF,Columbia,MD,Georgetown,/player/Greg-Whittington-10291,https://247sports.com/player/greg-whittington-10291/,404,api_profile_url,'6-8,195,https://247sports.com/player/greg-whittington-10291/high-school-10755/,2011_missing_hw.csv
2011,11976,Austin Etherington,SF,Arcadia,IN,Indiana,/player/Austin-Etherington-11976,https://247sports.com/player/austin-etherington-11976/,404,api_profile_url,'6-6,195,https://247sports.com/player/austin-etherington-11976/high-school-9909/,2011_missing_hw.csv
2011,12409,Corey Hilliard,PG,Kansas City,MO,Nebraska,/player/Corey-Hilliard-12409,https://247sports.com/player/corey-hilliard-12409/,404,api_profile_url,'6-1,175,https://247sports.com/player/corey-hilliard-12409/high-school-11726/,2011_missing_hw.csv
2011,7485,Nick Jacobs,C,Atlanta,GA,,/player/Nick-Jacobs-7485,https://247sports.com/player/nick-jacobs-7485/,404,api_profile_url,'6-8,250,https://247sports.com/player/nick-jacobs-7485/high-school-19329/,2011_missing_hw.csv
2011,12672,Quinton Chievous,SG,Niles,IL,Tennessee,/player/Quinton-Chievous-12672,https://247sports.com/player/quinton-chievous-12672/,404,api_profile_url,'6-5,195,https://247sports.com/player/quinton-chievous-12672/high-school-2326/,2011_missing_hw.csv
2011,31136,Adrian Diaz,C,Hialeah,FL,Kansas State,/player/Adrian-Diaz-31136,https://247sports.com/player/adrian-diaz-31136/,404,api_profile_url,'6-11,220,https://247sports.com/player/adrian-diaz-31136/high-school-50672/,2011_missing_hw.csv
2011,12428,Devonta Abron,PF,Dallas,TX,Arkansas,/player/Devonta-Abron-12428,https://247sports.com/player/devonta-abron-12428/,404,api_profile_url,'6-8,225,https://247sports.com/player/devonta-abron-12428/high-school-15413/,2011_missing_hw.csv
2011,36923,Will Cummings,PG,Jacksonville,FL,Temple,/player/Will-Cummings-36923,https://247sports.com/player/will-cummings-36923/,404,api_profile_url,'6-0,160,https://247sports.com/player/will-cummings-36923/high-school-60819/,2011_missing_hw.csv
2011,669,Darion Atkins,PF,Bethesda,MD,Virginia,/player/Darion-Atkins-669,https://247sports.com/player/darion-atkins-669/,404,api_profile_url,'6-8,210,https://247sports.com/player/darion-atkins-669/high-school-2708/,2011_missing_hw.csv
2011,7207,Jonathan Holmes,PF,San Antonio,TX,Texas,/player/Jonathan-Holmes-7207,https://247sports.com/player/jonathan-holmes-7207/,404,api_profile_url,'6-8,232,https://247sports.com/player/jonathan-holmes-7207/high-school-3854/,2011_missing_hw.csv
2011,59024,Kadeem Jack,PF,New York,NY,Rutgers,/player/Kadeem-Jack-59024,https://247sports.com/player/kadeem-jack-59024/,404,api_profile_url,'6-8,210,https://247sports.com/player/kadeem-jack-59024/high-school-102743/,2011_missing_hw.csv
2011,1337,Sam Thompson,SF,Chicago,IL,Ohio State,/player/Sam-Thompson-1337,https://247sports.com/player/sam-thompson-1337/,404,api_profile_url,'6-7,190,https://247sports.com/player/sam-thompson-1337/?Institution=10183,2011_missing_hw.csv
2011,25856,Jernard Jarreau,PF,New Orleans,LA,Washington,/player/Jernard-Jarreau-25856,https://247sports.com/player/jernard-jarreau-25856/,404,api_profile_url,'6-10,200,https://247sports.com/player/jernard-jarreau-25856/high-school-41912/,2011_missing_hw.csv
2011,26428,LaDon Carnegie,SG,Grand Rapids,MI,,/player/LaDon-Carnegie-26428,https://247sports.com/player/ladon-carnegie-26428/,404,api_profile_url,'6-5,185,https://247sports.com/player/ladon-carnegie-26428/high-school-42942/,2011_missing_hw.csv
