year,player_key,first_name,last_name,full_name,position,height,weight,stars,rating,national_rank,position_rank,state_rank,hometown_city,hometown_state,committed_institution_key,committed_team_key,committed_school,committed_school_abbr,committed_school_full,signed_institution_key,signed_team_key,signed_school,signed_school_abbr,signed_school_full,current_institution_key,current_team_key,current_school,current_school_abbr,current_school_full,profile_url_api,profile_lookup_url,profile_lookup_status,profile_resolution_method,has_scouting_report,scouting_report,source,skill_rating,skill_athleticism,skill_defender,skill_face_up_high_post_scorer,skill_handle,skill_leadership,skill_low_post_scorer,skill_passing,skill_passing_vision,skill_penetration_ability,skill_physicality_motor,skill_rebounding,skill_shooter,skill_size,skill_versatility,scouting_report_evaluator_name,scouting_report_evaluator_position,dob_247,dob_247_raw,dob_247_source_profile_file,recruiting_profile_url_247,enrolled_institution_247,height_in
2009,8953,Donnavan,Kirk,Donnavan Kirk,PF,6-9,228,4.0,92.42424242424242,145.0,37.0,5.0,Franklin,MI,,,,,,,,,,,24013,14.0,Miami,MIA,Miami Hurricanes,/player/Donnavan-Kirk-8953,https://247sports.com/player/donnavan-kirk-8953/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld_2009_append,False,,,,,,,,,,,,,,,,,,,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2009/profiles/8953.html,https://247sports.com/player/donnavan-kirk-8953/high-school-2892,,81.0
2009,18857,Mark,McLaughlin,Mark McLaughlin,SG,6-6,195,4.0,96.97223677317967,56.0,17.0,4.0,New Hampton,NH,,,,,,,,,,,23804,,New Hampton School,,New Hampton School,/player/Mark-McLaughlin-18857,https://247sports.com/player/mark-mclaughlin-18857/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld_2009_append,False,,,,,,,,,,,,,,,,,,,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2009/profiles/18857.html,,,78.0
2009,35738,Greyson,Smallwood,Greyson Smallwood,C,6-10,200,4.0,89.17670682730923,266.0,30.0,3.0,Portland,OR,,,,,,,,,,,19055,,Jefferson,,Jefferson,/player/Greyson-Smallwood-35738,https://247sports.com/player/greyson-smallwood-35738/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld_2009_append,False,,,,,,,,,,,,,,,,,,,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2009/profiles/35738.html,,,82.0
2009,71874,Latavious,Williams,Latavious Williams,PF,6-7,195,5.0,97.10295728368017,50.0,12.0,3.0,Humble,TX,,,,,,,,,,,5111,,Christian Life Center Academy,,Christian Life Center Academy,/player/Latavious-Williams-71874,https://247sports.com/player/latavious-williams-71874/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld_2009_append,False,,,,,,,,,,,,,,,,,,,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2009/profiles/71874.html,,,79.0
2009,72076,DaShonte,Riley,DaShonte Riley,C,6-11,220,4.0,94.63370593281542,121.0,12.0,2.0,Franklin,MI,,,,,,,,,,,2739,,Detroit Country Day,,Detroit Country Day,/player/DaShonte-Riley-72076,https://247sports.com/player/dashonte-riley-72076/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld_2009_append,False,,,,,,,,,,,,,,,,,,,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2009/profiles/72076.html,,,83.0
2009,18661,Carl,Blair,Carl Blair,PG,6-2,205,3.0,85.33333333333334,421.0,76.0,2.0,Bridgton,ME,24978.0,656.0,New Orleans,NO,New Orleans Privateers,,,,,,24026,40.0,Oklahoma,OKLA,Oklahoma Sooners,/player/Carl-Blair-18661,https://247sports.com/player/carl-blair-18661/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld_2009_append,False,,,,,,,,,,,,,,,,,,,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2009/profiles/18661.html,https://247sports.com/player/carl-blair-18661/high-school-30116,,74.0
2009,59544,Maurice,McNeal,Maurice McNeal,PF,6-8,190,,,,,,Amarillo,TX,,,,,,,,,,,5269,,San Jacinto Christian Academy,,San Jacinto Christian Academy,/player/Maurice-McNeal-59544,https://247sports.com/player/maurice-mcneal-59544/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld_2009_append,False,,,,,,,,,,,,,,,,,,,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2009/profiles/59544.html,,,80.0
2009,59624,Markhuri,Sanders-Frison,Markhuri Sanders-Frison,PF,6-8,270,3.0,85.4074074074074,416.0,8.0,2.0,Levelland,TX,24089.0,151.0,California,CAL,California Golden Bears,24089.0,151.0,California,CAL,California Golden Bears,24089,151.0,California,CAL,California Golden Bears,/player/Markhuri-Sanders-Frison-59624,https://247sports.com/player/markhuri-sanders-frison-59624/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld_2009_append,False,,,,,,,,,,,,,,,,,,,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2009/profiles/59624.html,https://247sports.com/player/markhuri-sanders-frison-59624/junior-college-103764,California,80.0
2009,59734,David,DavidBrown,David DavidBrown,SG,6-3,190,,,,,,Rockton,IL,,,,,,,,,,,10394,,Hononegah,,Hononegah,/player/David-DavidBrown-59734,https://247sports.com/player/david-davidbrown-59734/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld_2009_append,False,,,,,,,,,,,,,,,,,,,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2009/profiles/59734.html,,,75.0
2009,61386,Byron,Pickens,Byron Pickens,PF,6-7,195,2.0,76.66666666666667,691.0,16.0,2.0,Park Hills,MO,24340.0,526.0,Illinois-Chicago,UIC,Illinois-Chicago Flames,24340.0,526.0,Illinois-Chicago,UIC,Illinois-Chicago Flames,24995,,Mineral Area C.C.,,Mineral Area C.C.,/player/Byron-Pickens-61386,https://247sports.com/player/byron-pickens-61386/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld_2009_append,False,,,,,,,,,,,,,,,,,,,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2009/profiles/61386.html,,,79.0
